id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,AGRIBISNIS,9,UNIT,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,AKSESORIS,0,UNIT,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,BATIK,0,UNIT,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,BORDIR,0,UNIT,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,CRAFT,30,UNIT,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,DEKORASI,0,UNIT,2019
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,MEBEL,0,UNIT,2019
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,FASHION,13,UNIT,2019
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,INDUSTRI,10,UNIT,2019
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,JASA,11,UNIT,2019
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,KONVEKSI,1,UNIT,2019
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,KULINER,49,UNIT,2019
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN,33,UNIT,2019
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,MINUMAN,8,UNIT,2019
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,OBAT-OBATAN,0,UNIT,2019
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,AGRIBISNIS,2,UNIT,2019
17,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,AKSESORIS,2,UNIT,2019
18,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BATIK,0,UNIT,2019
19,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BORDIR,1,UNIT,2019
20,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CRAFT,15,UNIT,2019
21,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DEKORASI,0,UNIT,2019
22,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MEBEL,0,UNIT,2019
23,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,FASHION,17,UNIT,2019
24,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,INDUSTRI,3,UNIT,2019
25,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,JASA,3,UNIT,2019
26,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KONVEKSI,3,UNIT,2019
27,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KULINER,10,UNIT,2019
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MAKANAN,41,UNIT,2019
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MINUMAN,3,UNIT,2019
30,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,OBAT-OBATAN,0,UNIT,2019
31,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AGRIBISNIS,2,UNIT,2019
32,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AKSESORIS,0,UNIT,2019
33,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BATIK,0,UNIT,2019
34,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BORDIR,0,UNIT,2019
35,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CRAFT,4,UNIT,2019
36,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DEKORASI,1,UNIT,2019
37,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MEBEL,0,UNIT,2019
38,32,JAWA BARAT,3203,KABUPATEN CIANJUR,FASHION,10,UNIT,2019
39,32,JAWA BARAT,3203,KABUPATEN CIANJUR,INDUSTRI,1,UNIT,2019
40,32,JAWA BARAT,3203,KABUPATEN CIANJUR,JASA,1,UNIT,2019
41,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KONVEKSI,5,UNIT,2019
42,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KULINER,13,UNIT,2019
43,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MAKANAN,44,UNIT,2019
44,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MINUMAN,8,UNIT,2019
45,32,JAWA BARAT,3203,KABUPATEN CIANJUR,OBAT-OBATAN,2,UNIT,2019
46,32,JAWA BARAT,3204,KABUPATEN BANDUNG,AGRIBISNIS,0,UNIT,2019
47,32,JAWA BARAT,3204,KABUPATEN BANDUNG,AKSESORIS,2,UNIT,2019
48,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BATIK,1,UNIT,2019
49,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BORDIR,0,UNIT,2019
50,32,JAWA BARAT,3204,KABUPATEN BANDUNG,CRAFT,13,UNIT,2019
51,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DEKORASI,1,UNIT,2019
52,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MEBEL,0,UNIT,2019
53,32,JAWA BARAT,3204,KABUPATEN BANDUNG,FASHION,22,UNIT,2019
54,32,JAWA BARAT,3204,KABUPATEN BANDUNG,INDUSTRI,7,UNIT,2019
55,32,JAWA BARAT,3204,KABUPATEN BANDUNG,JASA,2,UNIT,2019
56,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KONVEKSI,17,UNIT,2019
57,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KULINER,11,UNIT,2019
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MAKANAN,95,UNIT,2019
59,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MINUMAN,9,UNIT,2019
60,32,JAWA BARAT,3204,KABUPATEN BANDUNG,OBAT-OBATAN,0,UNIT,2019
61,32,JAWA BARAT,3205,KABUPATEN GARUT,AGRIBISNIS,2,UNIT,2019
62,32,JAWA BARAT,3205,KABUPATEN GARUT,AKSESORIS,7,UNIT,2019
63,32,JAWA BARAT,3205,KABUPATEN GARUT,BATIK,2,UNIT,2019
64,32,JAWA BARAT,3205,KABUPATEN GARUT,BORDIR,0,UNIT,2019
65,32,JAWA BARAT,3205,KABUPATEN GARUT,CRAFT,10,UNIT,2019
66,32,JAWA BARAT,3205,KABUPATEN GARUT,DEKORASI,0,UNIT,2019
67,32,JAWA BARAT,3205,KABUPATEN GARUT,MEBEL,0,UNIT,2019
68,32,JAWA BARAT,3205,KABUPATEN GARUT,FASHION,16,UNIT,2019
69,32,JAWA BARAT,3205,KABUPATEN GARUT,INDUSTRI,5,UNIT,2019
70,32,JAWA BARAT,3205,KABUPATEN GARUT,JASA,2,UNIT,2019
71,32,JAWA BARAT,3205,KABUPATEN GARUT,KONVEKSI,13,UNIT,2019
72,32,JAWA BARAT,3205,KABUPATEN GARUT,KULINER,4,UNIT,2019
73,32,JAWA BARAT,3205,KABUPATEN GARUT,MAKANAN,58,UNIT,2019
74,32,JAWA BARAT,3205,KABUPATEN GARUT,MINUMAN,4,UNIT,2019
75,32,JAWA BARAT,3205,KABUPATEN GARUT,OBAT-OBATAN,0,UNIT,2019
76,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AGRIBISNIS,0,UNIT,2019
77,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AKSESORIS,1,UNIT,2019
78,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BATIK,0,UNIT,2019
79,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BORDIR,0,UNIT,2019
80,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CRAFT,10,UNIT,2019
81,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DEKORASI,0,UNIT,2019
82,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MEBEL,0,UNIT,2019
83,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,FASHION,5,UNIT,2019
84,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,INDUSTRI,6,UNIT,2019
85,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,JASA,0,UNIT,2019
86,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KONVEKSI,12,UNIT,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KULINER,6,UNIT,2019
88,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MAKANAN,69,UNIT,2019
89,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MINUMAN,7,UNIT,2019
90,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,OBAT-OBATAN,0,UNIT,2019
91,32,JAWA BARAT,3207,KABUPATEN CIAMIS,AGRIBISNIS,0,UNIT,2019
92,32,JAWA BARAT,3207,KABUPATEN CIAMIS,AKSESORIS,1,UNIT,2019
93,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BATIK,0,UNIT,2019
94,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BORDIR,0,UNIT,2019
95,32,JAWA BARAT,3207,KABUPATEN CIAMIS,CRAFT,1,UNIT,2019
96,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DEKORASI,0,UNIT,2019
97,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MEBEL,0,UNIT,2019
98,32,JAWA BARAT,3207,KABUPATEN CIAMIS,FASHION,2,UNIT,2019
99,32,JAWA BARAT,3207,KABUPATEN CIAMIS,INDUSTRI,1,UNIT,2019
100,32,JAWA BARAT,3207,KABUPATEN CIAMIS,JASA,0,UNIT,2019
101,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KONVEKSI,1,UNIT,2019
102,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KULINER,0,UNIT,2019
103,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MAKANAN,66,UNIT,2019
104,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MINUMAN,3,UNIT,2019
105,32,JAWA BARAT,3207,KABUPATEN CIAMIS,OBAT-OBATAN,0,UNIT,2019
106,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AGRIBISNIS,1,UNIT,2019
107,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AKSESORIS,0,UNIT,2019
108,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BATIK,0,UNIT,2019
109,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BORDIR,0,UNIT,2019
110,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CRAFT,1,UNIT,2019
